SOC	Ecell/V
99.74864865	4.1779895
99.74757449	4.1779208
99.74650033	4.1778598
99.74542619	4.1778865
99.74435204	4.1779132
99.74327789	4.1778483
99.74220374	4.1778331
99.74112958	4.1778102
99.74005542	4.1777301
99.73898126	4.1777072
99.73790709	4.1776576
99.73683292	4.1776385
99.73575877	4.1776233
99.73468461	4.1776423
99.73361045	4.1775165
99.7325363	4.1775317
99.73146214	4.1774364
99.73038797	4.1774516
99.72931381	4.1774135
99.72823966	4.1773143
99.7271655	4.1773829
99.72609134	4.1773868
99.72501718	4.1774249
99.72394302	4.1773639
99.72286886	4.1773334
99.7217947	4.1772528
99.72072053	4.1772413
99.71964636	4.1771803
99.7185722	4.1771612
99.71749804	4.1771841
99.71642388	4.1771307
99.71534971	4.1770468
99.71427555	4.1770811
99.7132014	4.1770124
99.71212725	4.176959
99.7110531	4.1768942
99.70997896	4.1769247
99.70890481	4.1768179
99.70783066	4.1768675
99.70675652	4.1767912
99.70568237	4.1767721
99.70460823	4.176753
99.70353408	4.1767073
99.70245993	4.1767149
99.70138579	4.1766386
99.70031165	4.1765547
99.69923751	4.1767073
99.69816336	4.1766615
99.69708921	4.1765356
99.69601506	4.1765623
99.69494091	4.1765547
99.69386677	4.1764479
99.69279263	4.1765242
99.69171849	4.1764517
99.69064435	4.1764669
99.68957021	4.1763024
99.68849606	4.1763368
99.68742192	4.1762757
99.68634777	4.1762185
99.68527362	4.1762567
99.68419948	4.1762071
99.68312533	4.1761994
99.68205119	4.1762147
99.68097705	4.1761422
99.67990291	4.1761384
99.67882876	4.1761041
99.67775461	4.1760583
99.67668047	4.1761003
99.67560632	4.1759667
99.67453218	4.176043
99.67345803	4.1759629
99.67238388	4.1760125
99.67130973	4.1758904
99.67023558	4.1758561
99.66916143	4.1757874
99.66808727	4.1758752
99.66701311	4.1757646
99.66593895	4.1757874
99.6648648	4.1757798
99.66379065	4.1756921
99.66271651	4.1756616
99.66164236	4.1756158
99.66056821	4.1755738
99.65949406	4.1754975
99.65841991	4.1755013
99.65734576	4.1755314
99.65627161	4.1755242
99.65519745	4.1755161
99.6541233	4.1754436
99.65304915	4.1754441
99.651975	4.1754556
99.65090084	4.1754284
99.64982669	4.1753941
99.64875253	4.1753254
99.64767836	4.1753139
99.6466042	4.17523
99.64553004	4.1752071
99.64445587	4.1752796
99.64338172	4.175169
99.64230755	4.1751118
99.64123339	4.1751881
99.64015922	4.1750469
99.63908505	4.1750469
99.63801088	4.175024
99.63693671	4.1749744
99.63586255	4.1750088
99.63478839	4.1748562
